# Funcio sin(x^2)
#  x          sin(x^2)
1.050423e+00 8.927389e-01
1.066338e+00 9.074090e-01
1.082254e+00 9.212465e-01
1.098169e+00 9.341877e-01
1.114085e+00 9.461681e-01
1.130000e+00 9.571225e-01
1.145916e+00 9.669854e-01
1.161831e+00 9.756908e-01
1.177747e+00 9.831728e-01
1.193662e+00 9.893657e-01
1.209578e+00 9.942040e-01
1.225493e+00 9.976230e-01
1.241409e+00 9.995590e-01
1.257324e+00 9.999493e-01
1.273240e+00 9.987331e-01
1.289155e+00 9.958510e-01
1.305071e+00 9.912462e-01
1.320986e+00 9.848642e-01
1.336902e+00 9.766533e-01
1.352817e+00 9.665652e-01
1.368733e+00 9.545553e-01
1.384648e+00 9.405828e-01
1.400563e+00 9.246116e-01
1.416479e+00 9.066101e-01
1.432394e+00 8.865523e-01
1.448310e+00 8.644176e-01
1.464225e+00 8.401916e-01
1.480141e+00 8.138663e-01
1.496056e+00 7.854406e-01
1.511972e+00 7.549209e-01
1.527887e+00 7.223210e-01
1.543803e+00 6.876629e-01
1.559718e+00 6.509772e-01
1.575634e+00 6.123031e-01
1.591549e+00 5.716891e-01
1.607465e+00 5.291930e-01
1.623380e+00 4.848824e-01
1.639296e+00 4.388348e-01
1.655211e+00 3.911381e-01
1.671127e+00 3.418902e-01
1.687042e+00 2.911997e-01
1.702958e+00 2.391857e-01
1.718873e+00 1.859778e-01
1.734789e+00 1.317163e-01
1.750704e+00 7.655188e-02
1.766620e+00 2.064543e-02
1.782535e+00 -3.583199e-02
1.798451e+00 -9.269955e-02
1.814366e+00 -1.497670e-01
1.830282e+00 -2.068351e-01
1.846197e+00 -2.636961e-01
1.862113e+00 -3.201346e-01
1.878028e+00 -3.759277e-01
1.893944e+00 -4.308465e-01
1.909859e+00 -4.846561e-01
1.925775e+00 -5.371174e-01
1.941690e+00 -5.879875e-01
1.957606e+00 -6.370213e-01
1.973521e+00 -6.839720e-01
1.989437e+00 -7.285934e-01
2.005352e+00 -7.706402e-01
2.021268e+00 -8.098702e-01
2.037183e+00 -8.460454e-01
2.053099e+00 -8.789337e-01
2.069014e+00 -9.083106e-01
2.084930e+00 -9.339606e-01
2.100845e+00 -9.556792e-01
2.116761e+00 -9.732745e-01
2.132676e+00 -9.865689e-01
2.148592e+00 -9.954010e-01
2.164507e+00 -9.996274e-01
2.180423e+00 -9.991242e-01
2.196338e+00 -9.937889e-01
2.212254e+00 -9.835420e-01
2.228169e+00 -9.683286e-01
2.244085e+00 -9.481200e-01
2.260000e+00 -9.229150e-01
2.275916e+00 -8.927413e-01
2.291831e+00 -8.576567e-01
2.307747e+00 -8.177498e-01
2.323662e+00 -7.731414e-01
2.339578e+00 -7.239849e-01
2.355493e+00 -6.704664e-01
2.371409e+00 -6.128058e-01
2.387324e+00 -5.512559e-01
2.403240e+00 -4.861027e-01
2.419155e+00 -4.176648e-01
2.435071e+00 -3.462926e-01
2.450986e+00 -2.723671e-01
2.466902e+00 -1.962987e-01
2.482817e+00 -1.185252e-01
2.498733e+00 -3.951038e-02
2.514648e+00 4.025888e-02
2.530564e+00 1.202749e-01
2.546479e+00 2.000123e-01
2.562395e+00 2.789309e-01
2.578310e+00 3.564799e-01
2.594226e+00 4.321008e-01
2.610141e+00 5.052323e-01
2.626057e+00 5.753138e-01
2.641972e+00 6.417907e-01
2.657888e+00 7.041185e-01
2.673803e+00 7.617678e-01
2.689719e+00 8.142294e-01
2.705634e+00 8.610191e-01
2.721550e+00 9.016832e-01
2.737465e+00 9.358028e-01
2.753381e+00 9.629994e-01
2.769296e+00 9.829397e-01
2.785212e+00 9.953399e-01
2.801127e+00 9.999706e-01
2.817042e+00 9.966606e-01
2.832958e+00 9.853010e-01
2.848873e+00 9.658484e-01
2.864789e+00 9.383280e-01
2.880704e+00 9.028358e-01
2.896620e+00 8.595409e-01
2.912535e+00 8.086862e-01
2.928451e+00 7.505890e-01
2.944366e+00 6.856412e-01
2.960282e+00 6.143081e-01
2.976197e+00 5.371265e-01
2.992113e+00 4.547025e-01
3.008028e+00 3.677078e-01
3.023944e+00 2.768757e-01
3.039859e+00 1.829957e-01
3.055775e+00 8.690790e-02
3.071690e+00 -1.050377e-02
3.087606e+00 -1.083193e-01
3.103521e+00 -2.055905e-01
3.119437e+00 -3.013503e-01
3.135352e+00 -3.946221e-01
3.151268e+00 -4.844298e-01
3.167183e+00 -5.698083e-01
3.183099e+00 -6.498145e-01
3.199014e+00 -7.235386e-01
3.214930e+00 -7.901146e-01
3.230845e+00 -8.487324e-01
3.246761e+00 -8.986481e-01
3.262676e+00 -9.391952e-01
3.278592e+00 -9.697944e-01
3.294507e+00 -9.899638e-01
3.310423e+00 -9.993275e-01
3.326338e+00 -9.976237e-01
3.342254e+00 -9.847115e-01
3.358169e+00 -9.605768e-01
3.374085e+00 -9.253366e-01
3.390000e+00 -8.792420e-01
3.405916e+00 -8.226795e-01
3.421831e+00 -7.561707e-01
3.437747e+00 -6.803703e-01
3.453662e+00 -5.960619e-01
3.469578e+00 -5.041529e-01
3.485493e+00 -4.056660e-01
3.501409e+00 -3.017307e-01
3.517324e+00 -1.935711e-01
3.533240e+00 -8.249373e-02
3.549155e+00 3.012768e-02
3.565071e+00 1.428681e-01
3.580986e+00 2.542689e-01
3.596902e+00 3.628563e-01
3.612817e+00 4.671614e-01
3.628733e+00 5.657400e-01
3.644648e+00 6.571940e-01
3.660564e+00 7.401920e-01
3.676479e+00 8.134903e-01
3.692395e+00 8.759530e-01
3.708310e+00 9.265720e-01
3.724226e+00 9.644849e-01
3.740141e+00 9.889925e-01
3.756057e+00 9.995736e-01
3.771972e+00 9.958980e-01
3.787888e+00 9.778375e-01
3.803803e+00 9.454734e-01
3.819719e+00 8.991016e-01
3.835634e+00 8.392346e-01
3.851550e+00 7.665996e-01
3.867465e+00 6.821338e-01
3.883381e+00 5.869758e-01
3.899296e+00 4.824531e-01
3.915212e+00 3.700672e-01
3.931127e+00 2.514741e-01
3.947043e+00 1.284621e-01
3.962958e+00 2.926496e-03
3.978874e+00 -1.231582e-01
3.994789e+00 -2.477687e-01
4.010705e+00 -3.688652e-01
4.026620e+00 -4.844251e-01
4.042536e+00 -5.924772e-01
4.058451e+00 -6.911374e-01
4.074367e+00 -7.786425e-01
4.090282e+00 -8.533845e-01
4.106198e+00 -9.139426e-01
4.122113e+00 -9.591133e-01
4.138029e+00 -9.879374e-01
4.153944e+00 -9.997237e-01
4.169860e+00 -9.940688e-01
4.185775e+00 -9.708719e-01
4.201690e+00 -9.303451e-01
4.217606e+00 -8.730174e-01
4.233521e+00 -7.997338e-01
4.249437e+00 -7.116480e-01
4.265352e+00 -6.102089e-01
4.281268e+00 -4.971409e-01
4.297183e+00 -3.744191e-01
4.313099e+00 -2.442375e-01
4.329014e+00 -1.089730e-01
4.344930e+00 2.885631e-02
4.360845e+00 1.666361e-01
4.376761e+00 3.017049e-01
4.392676e+00 4.314056e-01
4.408592e+00 5.531385e-01
4.424507e+00 6.644144e-01
4.440423e+00 7.629083e-01
4.456338e+00 8.465105e-01
4.472254e+00 9.133753e-01
4.488169e+00 9.619655e-01
4.504085e+00 9.910926e-01
4.520000e+00 9.999495e-01
4.535916e+00 9.881377e-01
4.551831e+00 9.556855e-01
4.567747e+00 9.030582e-01
4.583662e+00 8.311585e-01
4.599578e+00 7.413181e-01
4.615493e+00 6.352790e-01
4.631409e+00 5.151655e-01
4.647324e+00 3.834464e-01
4.663240e+00 2.428889e-01
4.679155e+00 9.650358e-02
4.695071e+00 -5.251727e-02
4.710986e+00 -2.008676e-01
4.726902e+00 -3.452003e-01
4.742817e+00 -4.822028e-01
4.758733e+00 -6.086748e-01
4.774648e+00 -7.216049e-01
4.790564e+00 -8.182458e-01
4.806479e+00 -8.961848e-01
4.822395e+00 -9.534095e-01
4.838310e+00 -9.883642e-01
4.854226e+00 -9.999988e-01
4.870141e+00 -9.878052e-01
4.886057e+00 -9.518425e-01
4.901972e+00 -8.927486e-01
4.917888e+00 -8.117377e-01
4.933803e+00 -7.105833e-01
4.949719e+00 -5.915869e-01
4.965634e+00 -4.575323e-01
4.981550e+00 -3.116259e-01
4.997465e+00 -1.574251e-01
5.013381e+00 1.244888e-03
5.029296e+00 1.603834e-01
5.045212e+00 3.159140e-01
5.061127e+00 4.637890e-01
5.077043e+00 6.000961e-01
5.092958e+00 7.211645e-01
5.108874e+00 8.236678e-01
5.124789e+00 9.047203e-01
5.140705e+00 9.619641e-01
5.156620e+00 9.936441e-01
5.172536e+00 9.986697e-01
5.188451e+00 9.766579e-01
5.204367e+00 9.279602e-01
5.220282e+00 8.536682e-01
5.236198e+00 7.555991e-01
5.252113e+00 6.362608e-01
5.268029e+00 4.987954e-01
5.283944e+00 3.469044e-01
5.299860e+00 1.847545e-01
5.315775e+00 1.686818e-02
5.331691e+00 -1.519992e-01
5.347606e+00 -3.169927e-01
5.363522e+00 -4.732971e-01
5.379437e+00 -6.162793e-01
5.395353e+00 -7.416290e-01
5.411268e+00 -8.454932e-01
5.427184e+00 -9.246013e-01
5.443099e+00 -9.763746e-01
5.459015e+00 -9.990193e-01
5.474930e+00 -9.915970e-01
5.490846e+00 -9.540706e-01
5.506761e+00 -8.873240e-01
5.522677e+00 -7.931540e-01
5.538592e+00 -6.742325e-01
5.554508e+00 -5.340408e-01
5.570423e+00 -3.767767e-01
5.586339e+00 -2.072359e-01
5.602254e+00 -3.067188e-02
5.618169e+00 1.473633e-01
5.634085e+00 3.211912e-01
5.650000e+00 4.851886e-01
5.665916e+00 6.339710e-01
5.681831e+00 7.625737e-01
5.697747e+00 8.666230e-01
5.713662e+00 9.424929e-01
5.729578e+00 9.874400e-01
5.745493e+00 9.997127e-01
5.761409e+00 9.786293e-01
5.777324e+00 9.246218e-01
5.793240e+00 8.392434e-01
5.809155e+00 7.251364e-01
5.825071e+00 5.859630e-01
5.840986e+00 4.262986e-01
5.856902e+00 2.514898e-01
5.872817e+00 6.748365e-02
5.888733e+00 -1.193706e-01
5.904648e+00 -3.025371e-01
5.920564e+00 -4.755222e-01
5.936479e+00 -6.321061e-01
5.952395e+00 -7.665718e-01
5.968310e+00 -8.739200e-01
5.984226e+00 -9.500637e-01
6.000141e+00 -9.919945e-01
6.016057e+00 -9.979126e-01
6.031972e+00 -9.673156e-01
6.047888e+00 -9.010414e-01
6.063803e+00 -8.012617e-01
6.079719e+00 -6.714256e-01
6.095634e+00 -5.161537e-01
6.111550e+00 -3.410848e-01
6.127465e+00 -1.526812e-01
6.143381e+00 4.200349e-02
6.159296e+00 2.355836e-01
6.175212e+00 4.206202e-01
6.191127e+00 5.899083e-01
6.207043e+00 7.367615e-01
6.222958e+00 8.552836e-01
6.238874e+00 9.406139e-01
6.254789e+00 9.891387e-01
6.270705e+00 9.986571e-01
6.286620e+00 9.684939e-01
6.302536e+00 8.995541e-01
6.318451e+00 7.943145e-01
6.334367e+00 6.567513e-01
6.350282e+00 4.922042e-01
6.366198e+00 3.071826e-01
6.382113e+00 1.091177e-01
6.398029e+00 -9.392824e-02
6.413944e+00 -2.935858e-01
6.429860e+00 -4.815227e-01
6.445775e+00 -6.497940e-01
6.461691e+00 -7.911837e-01
6.477606e+00 -8.995234e-01
6.493522e+00 -9.699729e-01
6.509437e+00 -9.992501e-01
6.525353e+00 -9.857994e-01
6.541268e+00 -9.298879e-01
6.557184e+00 -8.336256e-01
6.573099e+00 -7.009044e-01
6.589015e+00 -5.372584e-01
6.604930e+00 -3.496477e-01
6.620846e+00 -1.461746e-01
6.636761e+00 6.425680e-02
6.652677e+00 2.723255e-01
6.668592e+00 4.687045e-01
6.684508e+00 6.444814e-01
6.700423e+00 7.915692e-01
6.716339e+00 9.030882e-01
6.732254e+00 9.737010e-01
6.748170e+00 9.998829e-01
6.764085e+00 9.801155e-01
6.780001e+00 9.149895e-01
6.795916e+00 8.072127e-01
6.811832e+00 6.615175e-01
6.827747e+00 4.844724e-01
6.843663e+00 2.842007e-01
6.859578e+00 7.002147e-02
6.875494e+00 -1.479762e-01
6.891409e+00 -3.594036e-01
6.907325e+00 -5.540675e-01
6.923240e+00 -7.224662e-01
6.939156e+00 -8.562622e-01
6.955071e+00 -9.487077e-01
6.970987e+00 -9.950008e-01
6.986902e+00 -9.925534e-01
7.002817e+00 -9.411543e-01
7.018733e+00 -8.430180e-01
7.034648e+00 -7.027127e-01
7.050564e+00 -5.269688e-01
7.066479e+00 -3.243744e-01
7.082395e+00 -1.049702e-01
7.098310e+00 1.202373e-01
7.114226e+00 3.398228e-01
7.130141e+00 5.425205e-01
7.146057e+00 7.178070e-01
7.161972e+00 8.564570e-01
7.177888e+00 9.510428e-01
7.193803e+00 9.963496e-01
7.209719e+00 9.896831e-01
7.225634e+00 9.310509e-01
7.241550e+00 8.232031e-01
7.257465e+00 6.715295e-01
7.273381e+00 4.838122e-01
7.289296e+00 2.698461e-01
7.305212e+00 4.094294e-02
7.321127e+00 -1.906567e-01
7.337043e+00 -4.124329e-01
7.352958e+00 -6.122646e-01
7.368874e+00 -7.790988e-01
7.384789e+00 -9.035737e-01
7.400705e+00 -9.785616e-01
7.416620e+00 -9.995971e-01
7.432536e+00 -9.651664e-01
7.448451e+00 -8.768356e-01
7.464367e+00 -7.392093e-01
7.480282e+00 -5.597169e-01
7.496198e+00 -3.482335e-01
7.512113e+00 -1.165558e-01
7.528029e+00 1.222435e-01
7.543944e+00 3.545454e-01
7.559860e+00 5.669614e-01
7.575775e+00 7.471100e-01
7.591691e+00 8.843507e-01
7.607606e+00 9.704299e-01
7.623522e+00 9.999990e-01
7.639437e+00 9.709713e-01
7.655353e+00 8.846927e-01
7.671268e+00 7.459125e-01
7.687184e+00 5.625496e-01
7.703099e+00 3.452662e-01
7.719015e+00 1.068674e-01
7.734930e+00 -1.384392e-01
7.750846e+00 -3.758826e-01
7.766761e+00 -5.910174e-01
7.782677e+00 -7.706092e-01
7.798592e+00 -9.034628e-01
7.814508e+00 -9.811394e-01
7.830423e+00 -9.985168e-01
7.846339e+00 -9.541545e-01
7.862254e+00 -8.504353e-01
7.878170e+00 -6.934710e-01
7.894085e+00 -4.927718e-01
7.910001e+00 -2.606954e-01
7.925916e+00 -1.170573e-02
7.941832e+00 2.385156e-01
7.957747e+00 4.740517e-01
7.973663e+00 6.797656e-01
7.989578e+00 8.422836e-01
8.005494e+00 9.508828e-01
8.021409e+00 9.982218e-01
8.037325e+00 9.808655e-01
8.053240e+00 8.995636e-01
8.069156e+00 7.592588e-01
8.085071e+00 5.688204e-01
8.100987e+00 3.405124e-01
8.116902e+00 8.922724e-02
8.132818e+00 -1.684690e-01
8.148733e+00 -4.154206e-01
8.164649e+00 -6.350249e-01
8.180564e+00 -8.123572e-01
8.196480e+00 -9.352029e-01
8.212395e+00 -9.949230e-01
8.228311e+00 -9.870911e-01
8.244226e+00 -9.118529e-01
8.260142e+00 -7.739783e-01
8.276057e+00 -5.825953e-01
8.291973e+00 -3.506170e-01
8.307888e+00 -9.389635e-02
8.323804e+00 1.698394e-01
8.339719e+00 4.222037e-01
8.355635e+00 6.454328e-01
8.371550e+00 8.236464e-01
8.387466e+00 9.439962e-01
8.403381e+00 9.976189e-01
8.419296e+00 9.803203e-01
8.435212e+00 8.929380e-01
8.451127e+00 7.413471e-01
8.467043e+00 5.361034e-01
8.482958e+00 2.917412e-01
8.498874e+00 2.576957e-02
8.514789e+00 -2.425645e-01
8.530705e+00 -4.936623e-01
8.546620e+00 -7.090076e-01
8.562536e+00 -8.725464e-01
8.578451e+00 -9.719060e-01
8.594367e+00 -9.993623e-01
8.610282e+00 -9.524750e-01
8.626198e+00 -8.343393e-01
8.642113e+00 -6.534245e-01
8.658029e+00 -4.230051e-01
8.673944e+00 -1.602187e-01
8.689860e+00 1.151850e-01
8.705775e+00 3.823160e-01
8.721691e+00 6.207258e-01
8.737606e+00 8.119830e-01
8.753522e+00 9.411178e-01
8.769437e+00 9.978236e-01
8.785353e+00 9.773155e-01
8.801268e+00 8.807728e-01
8.817184e+00 7.153224e-01
8.833099e+00 4.935548e-01
8.849015e+00 2.326025e-01
8.864930e+00 -4.715593e-02
8.880846e+00 -3.236705e-01
8.896761e+00 -5.749521e-01
8.912677e+00 -7.808290e-01
8.928592e+00 -9.245848e-01
8.944508e+00 -9.943456e-01
8.960423e+00 -9.840982e-01
8.976339e+00 -8.942492e-01
8.992254e+00 -7.316722e-01
9.008170e+00 -5.092269e-01
9.024085e+00 -2.447812e-01
9.040001e+00 4.019405e-02
9.055916e+00 3.223494e-01
9.071832e+00 5.783645e-01
9.087747e+00 7.868827e-01
9.103663e+00 9.303134e-01
9.119578e+00 9.963473e-01
9.135494e+00 9.790528e-01
9.151409e+00 8.794525e-01
9.167325e+00 7.055217e-01
9.183240e+00 4.715969e-01
9.199156e+00 1.972342e-01
9.215071e+00 -9.439492e-02
9.230987e+00 -3.784432e-01
9.246902e+00 -6.305010e-01
9.262818e+00 -8.287050e-01
9.278733e+00 -9.556585e-01
9.294649e+00 -9.999945e-01
9.310564e+00 -9.574374e-01
9.326480e+00 -8.312605e-01
9.342395e+00 -6.320897e-01
9.358311e+00 -3.770564e-01
9.374226e+00 -8.836303e-02
9.390142e+00 2.086220e-01
9.406057e+00 4.875807e-01
9.421973e+00 7.235793e-01
9.437888e+00 8.953150e-01
9.453804e+00 9.870694e-01
9.469719e+00 9.901895e-01
9.485635e+00 9.039522e-01
9.501550e+00 7.357223e-01
9.517466e+00 5.003782e-01
9.533381e+00 2.190414e-01
9.549297e+00 -8.278348e-02
9.565212e+00 -3.775001e-01
9.581128e+00 -6.379387e-01
9.597043e+00 -8.398727e-01
9.612959e+00 -9.642995e-01
9.628874e+00 -9.992692e-01
9.644790e+00 -9.410815e-01
9.660705e+00 -7.947270e-01
9.676621e+00 -5.735185e-01
9.692536e+00 -2.979313e-01
9.708452e+00 6.251435e-03
9.724367e+00 3.103245e-01
9.740283e+00 5.853599e-01
9.756198e+00 8.049671e-01
9.772114e+00 9.478506e-01
9.788029e+00 9.999147e-01
9.803944e+00 9.557046e-01
9.819860e+00 8.190321e-01
9.835775e+00 6.027100e-01
9.851691e+00 3.274062e-01
9.867606e+00 1.971350e-02
9.883522e+00 -2.903898e-01
9.899437e+00 -5.724492e-01
9.915353e+00 -7.985317e-01
9.931268e+00 -9.460178e-01
9.947184e+00 -9.999062e-01
9.963099e+00 -9.543914e-01
9.979015e+00 -8.135469e-01
9.994930e+00 -5.910264e-01
1.001085e+01 -3.087979e-01
1.002676e+01 4.979534e-03
1.004268e+01 3.187350e-01
1.005859e+01 6.006519e-01
1.007451e+01 8.219034e-01
1.009042e+01 9.596287e-01
1.010634e+01 9.993403e-01
1.012225e+01 9.365040e-01
1.013817e+01 7.771153e-01
1.015409e+01 5.371949e-01
1.017000e+01 2.412367e-01
1.018592e+01 -8.024810e-02
1.020183e+01 -3.938492e-01
1.021775e+01 -6.667230e-01
1.023366e+01 -8.700470e-01
1.024958e+01 -9.820989e-01
1.026549e+01 -9.906288e-01
1.028141e+01 -8.942589e-01
1.029732e+01 -7.027473e-01
1.031324e+01 -4.360678e-01
1.032916e+01 -1.223830e-01
1.034507e+01 2.048887e-01
1.036099e+01 5.106126e-01
1.037690e+01 7.617117e-01
1.039282e+01 9.307692e-01
1.040873e+01 9.990662e-01
1.042465e+01 9.587128e-01
1.044056e+01 8.136252e-01
1.045648e+01 5.792219e-01
1.047240e+01 2.808508e-01
1.048831e+01 -4.890000e-02
1.050423e+01 -3.737290e-01
1.052014e+01 -6.576081e-01
1.053606e+01 -8.687928e-01
1.055197e+01 -9.834092e-01
1.056789e+01 -9.882080e-01
1.058380e+01 -8.821625e-01
1.059972e+01 -6.767125e-01
1.061563e+01 -3.946026e-01
1.063155e+01 -6.742471e-02
1.064747e+01 2.678783e-01
1.066338e+01 5.731648e-01
1.067930e+01 8.134400e-01
1.069521e+01 9.608982e-01
1.071113e+01 9.981931e-01
1.072704e+01 9.205449e-01
1.074296e+01 7.364228e-01
1.075887e+01 4.666994e-01
1.077479e+01 1.423510e-01
1.079071e+01 -1.990508e-01
1.080662e+01 -5.176666e-01
1.082254e+01 -7.760385e-01
1.083845e+01 -9.435222e-01
1.085437e+01 -9.999714e-01
1.087028e+01 -9.382293e-01
1.088620e+01 -7.651096e-01
1.090211e+01 -5.007282e-01
1.091803e+01 -1.762362e-01
1.093394e+01 1.697968e-01
1.094986e+01 4.959383e-01
1.096578e+01 7.628524e-01
1.098169e+01 9.380704e-01
1.099761e+01 9.999921e-01
1.101352e+01 9.406177e-01
1.102944e+01 7.666586e-01
1.104535e+01 4.988657e-01
1.106127e+01 1.696275e-01
1.107718e+01 -1.808914e-01
1.109310e+01 -5.096206e-01
1.110902e+01 -7.758753e-01
1.112493e+01 -9.464206e-01
1.114085e+01 -9.996739e-01
1.115676e+01 -9.285097e-01
1.117268e+01 -7.412929e-01
1.118859e+01 -4.609843e-01
1.120451e+01 -1.223991e-01
1.122042e+01 2.320621e-01
1.123634e+01 5.576961e-01
1.125225e+01 8.131389e-01
1.126817e+01 9.656539e-01
1.128409e+01 9.953876e-01
1.130000e+01 8.980327e-01
1.131592e+01 6.855316e-01
1.133183e+01 3.847007e-01
1.134775e+01 3.392027e-02
1.136366e+01 -3.217115e-01
1.137958e+01 -6.361565e-01
1.139549e+01 -8.684082e-01
1.141141e+01 -9.878830e-01
1.142732e+01 -9.785161e-01
1.144324e+01 -8.410062e-01
1.145916e+01 -5.928856e-01
1.147507e+01 -2.663728e-01
1.149099e+01 9.574141e-02
1.150690e+01 4.456597e-01
1.152282e+01 7.368780e-01
1.153873e+01 9.303904e-01
1.155465e+01 9.999698e-01
1.157056e+01 9.358010e-01
1.158648e+01 7.459557e-01
1.160240e+01 4.554755e-01
1.161831e+01 1.031534e-01
1.163423e+01 -2.635866e-01
1.165014e+01 -5.950442e-01
1.166606e+01 -8.459848e-01
1.168197e+01 -9.818545e-01
1.169789e+01 -9.836082e-01
1.171380e+01 -8.504694e-01
1.172972e+01 -6.002085e-01
1.174563e+01 -2.668663e-01
1.176155e+01 1.038013e-01
1.177747e+01 4.605579e-01
1.179338e+01 7.537601e-01
1.180930e+01 9.422926e-01
1.182521e+01 9.993955e-01
1.184113e+01 9.165484e-01
1.185704e+01 7.048378e-01
1.187296e+01 3.935774e-01
1.188887e+01 2.633546e-02
1.190479e+01 -3.451038e-01
1.192071e+01 -6.680194e-01
1.193662e+01 -8.962516e-01
1.195254e+01 -9.968540e-01
1.196845e+01 -9.549305e-01
1.198437e+01 -7.759404e-01
1.200028e+01 -4.850995e-01
1.201620e+01 -1.239234e-01
1.203211e+01 2.556287e-01
1.204803e+01 5.985945e-01
1.206394e+01 8.549733e-01
1.207986e+01 9.870616e-01
1.209578e+01 9.750765e-01
1.211169e+01 8.202179e-01
1.212761e+01 5.446832e-01
1.214352e+01 1.885882e-01
1.215944e+01 -1.957962e-01
1.217535e+01 -5.516736e-01
1.219127e+01 -8.261141e-01
1.220718e+01 -9.779670e-01
1.222310e+01 -9.841087e-01
1.223902e+01 -8.430645e-01
1.225493e+01 -5.754244e-01
1.227085e+01 -2.209448e-01
1.228676e+01 1.672734e-01
1.230268e+01 5.306917e-01
1.231859e+01 8.141572e-01
1.233451e+01 9.743113e-01
1.235042e+01 9.863000e-01
1.236634e+01 8.477336e-01
1.238225e+01 5.792528e-01
1.239817e+01 2.215650e-01
1.241409e+01 -1.706411e-01
1.243000e+01 -5.370079e-01
1.244592e+01 -8.207935e-01
1.246183e+01 -9.777007e-01
1.247775e+01 -9.828723e-01
1.249366e+01 -8.349361e-01
1.250958e+01 -5.564256e-01
1.252549e+01 -1.904615e-01
1.254141e+01 2.058380e-01
1.255733e+01 5.702242e-01
1.257324e+01 8.450957e-01
1.258916e+01 9.866506e-01
1.260507e+01 9.719531e-01
1.262099e+01 8.027620e-01
1.263690e+01 5.054652e-01
1.265282e+01 1.270781e-01
1.266873e+01 -2.721074e-01
1.268465e+01 -6.280883e-01
1.270056e+01 -8.834204e-01
1.271648e+01 -9.965443e-01
1.273240e+01 -9.486448e-01
1.274831e+01 -7.468990e-01
1.276423e+01 -4.235327e-01
1.278014e+01 -3.078536e-02
1.279606e+01 3.674518e-01
1.281197e+01 7.059985e-01
1.282789e+01 9.290746e-01
1.284380e+01 9.995594e-01
1.285972e+01 9.052754e-01
1.287563e+01 6.612146e-01
1.289155e+01 3.072855e-01
1.290747e+01 -9.810686e-02
1.292338e+01 -4.876322e-01
1.293930e+01 -7.962028e-01
1.295521e+01 -9.718870e-01
1.297113e+01 -9.847351e-01
1.298704e+01 -8.320028e-01
1.300296e+01 -5.388441e-01
1.301887e+01 -1.542952e-01
1.303479e+01 2.568320e-01
1.305071e+01 6.248242e-01
1.306662e+01 8.868934e-01
1.308254e+01 9.979499e-01
1.309845e+01 9.384641e-01
1.311437e+01 7.180288e-01
1.313028e+01 3.739547e-01
1.314620e+01 -3.492667e-02
1.316211e+01 -4.382435e-01
1.317803e+01 -7.661700e-01
1.319394e+01 -9.615477e-01
1.320986e+01 -9.899326e-01
1.322578e+01 -8.457898e-01
1.324169e+01 -5.537000e-01
1.325761e+01 -1.643032e-01
1.327352e+01 2.543779e-01
1.328944e+01 6.287674e-01
1.330535e+01 8.926707e-01
1.332127e+01 9.990416e-01
1.333718e+01 9.284797e-01
1.335310e+01 6.929041e-01
1.336902e+01 3.336882e-01
1.338493e+01 -8.548451e-02
1.340085e+01 -4.898327e-01
1.341676e+01 -8.067986e-01
1.343268e+01 -9.791096e-01
1.344859e+01 -9.752234e-01
1.346451e+01 -7.952339e-01
1.348042e+01 -4.711123e-01
